Dates,HSBA LN Equity,BARC LN Equity,JPM UN Equity,BAC UN Equity
2021-02-15,4.105,1.54,101.91933,24.07822
2021-02-16,4.278,1.556,103.96751,24.63164
2021-02-17,4.323,1.544,104.71998,24.83401
2021-02-18,4.192,1.475,104.26096,24.48439
2021-02-19,4.24,1.536,105.55516,24.63096
2021-02-22,4.317,1.543,106.09999,24.96094
2021-02-23,4.28,1.592,106.87624,25.20579
2021-02-24,4.293,1.646,108.68733,25.79959
2021-02-25,4.352,1.625,107.48667,25.54568
2021-02-26,4.262,1.596,105.53603,24.89064
2021-03-01,4.201,1.613,108.12558,25.71305
2021-03-02,4.238,1.622,107.39548,25.43671
2021-03-03,4.329,1.703,109.44814,26.06828
2021-03-04,4.265,1.667,108.12985,26.21373
2021-03-05,4.376,1.716,109.15732,26.71248
2021-03-08,4.555,1.779,110.49209,26.82997
2021-03-09,4.474,1.758,109.30886,26.14831
2021-03-10,4.461,1.74,111.56419,26.87522
2021-03-11,4.251,1.743,110.46528,26.65712
2021-03-12,4.284,1.806,112.16061,27.25183
2021-03-15,4.24,1.803,111.8333,27.17196
2021-03-16,4.228,1.83,110.49449,27.09278
2021-03-17,4.306,1.813,111.9137,27.3849
2021-03-18,4.416,1.838,113.01075,27.91398
2021-03-19,4.309,1.826,111.76428,27.75737
2021-03-22,4.25,1.81,108.88568,27.16192
2021-03-23,4.244,1.811,108.61919,26.81686
2021-03-24,4.237,1.842,109.83738,26.90877
2021-03-25,4.214,1.82,111.04236,27.41301
2021-03-26,4.227,1.83,112.44109,28.04321
2021-03-29,4.181,1.804,110.81434,27.8052
2021-03-30,4.307,1.891,112.60296,28.42044
2021-03-31,4.232,1.859,110.31159,28.03623
2021-04-01,4.232,1.84,111.23091,28.5766
2021-04-02,4.232,1.84,111.23091,28.5766
2021-04-05,4.232,1.84,110.50209,28.62897
2021-04-06,4.269,1.856,110.3603,28.71509
2021-04-07,4.34,1.874,112.74196,29.14423
2021-04-08,4.4,1.88,112.89665,28.89374
2021-04-09,4.374,1.857,113.84862,29.13237
2021-04-12,4.326,1.881,113.47595,29.14939
2021-04-13,4.269,1.868,112.17151,28.62343
2021-04-14,4.289,1.876,109.60423,28.90693
2021-04-15,4.212,1.846,110.37209,28.09893
2021-04-16,4.275,1.892,110.87806,28.31622
2021-04-19,4.281,1.877,109.14486,28.00658
2021-04-20,4.173,1.818,107.08034,27.31707
2021-04-21,4.159,1.807,108.06892,27.79612
2021-04-22,4.155,1.823,106.45814,27.71076
2021-04-23,4.19,1.82,108.39348,28.27656
2021-04-26,4.228,1.861,108.41794,28.37906
2021-04-27,4.404,1.865,108.766,28.67827
2021-04-28,4.434,1.89,109.39993,28.76752
2021-04-29,4.543,1.887,111.31115,29.48644
2021-04-30,4.528,1.755,111.21475,29.30586
2021-05-03,4.528,1.755,110.2754,29.16517
2021-05-04,4.412,1.709,111.95276,29.52189
2021-05-05,4.544,1.768,113.30744,29.77269
2021-05-06,4.552,1.771,115.71254,30.25131
2021-05-07,4.512,1.815,115.3197,30.16736
2021-05-10,4.544,1.855,114.00085,29.73413
2021-05-11,4.4,1.8,111.92376,29.34698
2021-05-12,4.439,1.815,112.00028,29.29293
2021-05-13,4.438,1.782,115.05307,29.80694
2021-05-14,4.488,1.807,116.3439,30.04895
2021-05-17,4.434,1.792,116.4651,30.22845
2021-05-18,4.467,1.803,114.38737,29.70478
2021-05-19,4.433,1.781,113.79432,29.64402
2021-05-20,4.46,1.789,113.42031,29.5275
2021-05-21,4.445,1.79,114.98657,29.97314
2021-05-24,4.466,1.797,115.51882,30.11231
2021-05-25,4.5,1.796,114.45442,29.70794
2021-05-26,4.469,1.793,114.59425,29.76915
2021-05-27,4.502,1.837,115.91903,30.01129
2021-05-28,4.553,1.831,115.68641,29.85842
2021-05-31,4.553,1.831,115.68641,29.85842
2021-06-01,4.463,1.856,117.25867,30.30859
2021-06-02,4.517,1.864,117.14991,30.29277
2021-06-03,4.493,1.863,117.85942,30.67593
2021-06-04,4.44,1.84,117.50918,30.54928
2021-06-07,4.455,1.87,116.82652,30.40903
2021-06-08,4.443,1.852,116.62426,30.30817
2021-06-09,4.381,1.805,115.44566,29.98441
2021-06-10,4.361,1.791,113.22886,29.42962
2021-06-11,4.369,1.804,113.64055,29.67742
2021-06-14,4.395,1.794,111.64883,29.30631
2021-06-15,4.361,1.792,110.22873,29.40048
2021-06-16,4.381,1.771,110.80621,29.51145
2021-06-17,4.394,1.788,109.21128,28.64134
2021-06-18,4.294,1.719,107.04878,28.06484
2021-06-21,4.266,1.729,108.00546,28.53963
2021-06-22,4.238,1.725,107.76239,28.67494
2021-06-23,4.209,1.728,108.22889,28.79037
2021-06-24,4.246,1.744,109.59327,29.34033
2021-06-25,4.276,1.748,110.81139,29.93814
2021-06-28,4.204,1.715,111.14872,29.93158
2021-06-29,4.213,1.732,111.36479,29.54266
2021-06-30,4.173,1.711,112.71014,29.87681
2021-07-01,4.234,1.753,114.10722,30.1758
2021-07-02,4.167,1.724,113.03245,29.8102
2021-07-05,4.231,1.777,113.03245,29.8102
2021-07-06,4.165,1.715,111.33609,29.08048
2021-07-07,4.18,1.725,111.3213,28.81061
2021-07-08,4.106,1.676,109.59123,28.15654
2021-07-09,4.141,1.734,112.40439,28.89306
2021-07-12,4.129,1.727,113.81645,29.26812
2021-07-13,4.122,1.7,112.44762,28.79642
2021-07-14,4.111,1.707,111.96766,28.04966
2021-07-15,4.088,1.691,112.44033,28.08477
2021-07-16,4.032,1.654,110.25548,27.52214
2021-07-19,3.918,1.593,107.5128,27.01536
2021-07-20,3.958,1.617,109.83859,27.65224
2021-07-21,4.019,1.672,111.59293,28.07709
2021-07-22,4.007,1.653,109.63969,27.57519
2021-07-23,4.016,1.671,109.4847,27.40025
2021-07-26,4.029,1.694,109.66879,27.57449
2021-07-27,4.033,1.694,109.07454,27.35326
2021-07-28,3.966,1.728,109.25459,27.46129
2021-07-29,4.01,1.762,109.55961,27.69782
2021-07-30,3.975,1.745,109.2021,27.59911
2021-08-02,3.961,1.759,108.79453,27.31918
2021-08-03,3.981,1.764,109.85845,27.69994
2021-08-04,4.004,1.788,108.82141,27.53634
2021-08-05,4.029,1.797,109.93468,28.00948
2021-08-06,4.099,1.827,113.58719,28.95572
2021-08-09,4.108,1.844,113.61207,29.36886
2021-08-10,4.1,1.854,115.13049,29.95012
2021-08-11,4.127,1.865,116.11788,30.22552
2021-08-12,4.1,1.843,117.09488,30.5059
2021-08-13,4.115,1.851,115.36742,30.02091
2021-08-16,4.052,1.829,114.78405,29.82089
2021-08-17,4.059,1.822,114.38042,29.93371
2021-08-18,4.055,1.824,113.15732,29.66761
2021-08-19,3.941,1.789,112.99253,29.4346
2021-08-20,3.961,1.793,113.53097,29.62284
2021-08-23,3.953,1.806,114.19618,29.81344
2021-08-24,3.904,1.818,114.90308,30.22883
2021-08-25,3.988,1.851,117.13495,30.68132
2021-08-26,3.955,1.845,118.03985,30.67941
2021-08-27,3.95,1.858,118.34083,30.83902
2021-08-30,3.95,1.858,116.64122,30.28717
2021-08-31,3.862,1.849,116.31035,30.35922
2021-09-01,3.868,1.84,115.87348,29.88247
2021-09-02,3.873,1.855,116.00636,29.65587
2021-09-03,3.845,1.847,114.95603,29.58772
2021-09-06,3.873,1.856,114.95603,29.58772
2021-09-07,3.825,1.854,115.45323,29.96374
2021-09-08,3.806,1.824,115.09694,29.61295
